title,summaries,position,open,ticket,traffic,comment,site
河坊街,河坊街位于吴山脚下，是清河坊的一部分，属于杭州老城区，是一条有着悠久历史和深厚文化底蕴的古街。它曾是古代都城杭州的“皇城根儿”，更是南宋的文化中心和经贸中心。改建后的河坊街展现了清末民初风貌，是目前最能够体现杭州历史文化风貌的街道之一。这里特色小吃、古玩字画、商铺云集，老字号、杭州特色各类店铺约有一百余家。,杭州市上城区吴山广场（河坊巷）,全天,免费,交通:乘25、35、51、108、187、212、327、992、西湖南线景区假日线、y10、y8在吴山公交中心站下车,（3514条）,
灵隐寺,·毗邻西湖，是中国最早的佛教寺院和中国十大古刹之一，留存着各朝代众多精美文物。·寺内宝物汇集：天王殿上悬“云林禅寺”匾额，为清康熙帝所题；大雄宝殿里供奉着国内最大的木雕佛像释迦牟尼莲花坐像。寺内珍藏着佛教文物有古代贝叶写经、明董其昌写本《金刚经》等。·山上有许多奇幻多变的洞壑，更遍布着五代以来的佛教石窟造像多达三百四十余尊，是我国江南少见的古代石窟艺术瑰宝。·这里是济公的出家地，据说求愿很灵验，每天来礼佛祈福的香客络绎不绝。,浙江省杭州市西湖区灵隐路法云弄1号,07:00-18:15；停止售票时间:17:30；停止入场时间:17:45 (1月1日-12月31日 周一-周日), 飞来峰:45人民币；灵隐寺:30人民币 (1月1日-12月31日 周一-周日),乘坐7、807、游1、2、4路公交车在灵隐站下车。,（5080条）,http://www.lingyinsi.org
杭州宋城旅游区,·杭州宋城旅游区拥有杭州宋城景区、杭州乐园、烂苹果乐园、浪浪浪水公园、云曼温泉等系列公园与景区。·杭州宋城景区以“建筑为形，文化为魂”为经营理念。城内斗拱飞檐、车水马龙、一步一景，还原了宋代都市风貌。·杭州乐园、烂苹果乐园是著名的高科技综合性主题公园，融汇了百项高科技互动体验项目，活动不断，一票畅玩！,杭州市西湖区之江路148号,"
            ",,杭州宋城旅游区(西湖片区):可乘坐公交121、190、308、318、354、4、510、1400、287、287(区间)、夜间线202到宋城站下车。杭州宋城旅游区(湘湖片区):地铁1号线湘湖站。公交:515区间到杭州乐园北广场站下车;406、515区、716路到杭州乐园站下车。,（679条）,http://www.songcn.com
杭州宋城景区,位于杭州西南市郊，是中国最大的宋文化主题公园，大型歌舞演出《宋城千古情》是其一绝。年接待游客1000万，“建筑为形，文化为魂”是宋城的经营理念。城内斗拱飞檐，真实还原了宋代都市风貌。宋城是中国非物质文化遗产集聚地。活着的清明上河图、聊斋惊魂鬼屋、人皮客栈听音室等高科技体验项目惊喜不断。园区内《王员外家抛绣球》、《穿越快闪秀》、《风月美人》等二十大演艺秀闻名遐迩，给游客带来独特的游览体验。《宋城千古情》每场约1小时，下午和晚上各2-3场，节假日会加演多场。宋城的表演场次较多，诸如皮影戏、打擂台等一天有好几场，民俗表演时间请查阅官网。宋城景区在每天最后一场演出《宋城千古情》40分钟后闭园，最后演出时间根据季节会有调整。,杭州市西湖区之江路148号,周一至周日 10:00-21:00,"贵宾席成人票门市价320元/人，网络销售价300元/人，观众席成人票门市价310元/人，网络销售价290元/人，豪华席门市价580元/人，网络销售价,480元/人。",飞机指南：乘坐飞机前来宋城旅游，可从杭州萧山国际机场转乘汽车到达市区，距离30公里。杭州萧山国际机场——宋城乘坐机场大巴→武林门民航售票处下（步行至武林门站）→换乘公交318路机场电话：+8657186662539火车指南：杭州站（城站火车站）——宋城乘坐地铁1号线(文泽路方向)→龙翔桥站下→换乘公交4路杭州火车东站——宋城乘坐地铁1号线（湘湖方向）→龙翔桥站下→换乘公交4路自驾指南：市区方向：可经复兴路、虎跑路、梅岭南路、钱江一桥（钱塘江大桥）→之江路→往转塘方向其他方向：可经杭州绕城高速→之江路→往转塘方向汽车指南：杭州汽车客运中心站——宋城乘坐地铁1号线（湘湖方向）→龙翔桥站下→换乘公交4路杭州汽车西站——宋城乘坐公交102路→凤山门站下→换乘公交308路乘坐公交假日2线→宋城东站下杭州汽车北站——宋城乘坐公交188路→延安路湖滨站下（步行至龙翔桥站）→换乘公交4路杭州汽车南站——宋城乘坐公交334路→感应桥南(宋城)站下乘坐公交39路→复兴路北口站下→换乘公交308路火车指南可乘坐公交121、190、308、318、354、4、510、1400、287、287(区间)、夜间线202到宋城站下；假日2号线宋城东站下；334感应桥南（宋城）站下；103路、324路感应桥北（宋城）站下；1403五浦桥站下,（2212条）,http://www.songcn.com
西溪国家湿地公园,以“一曲溪流一曲烟”闻名的西溪湿地，曾与西湖、西泠并称为“杭州三西”。西溪国家湿地公园位于市区西面，这里环境清幽、水道纵横，是城市中少有的天然湿地，有“杭州之肾”之称。西溪湿地分为东区和西区，东区包括一期和二期，西区为三期洪园景区。东区是西溪湿地自然风光的精华所在，坐船穿行于错综复杂的水道，是感受自然生态最佳的方式。,杭州市西湖区天目山路518号,07:30-18:30；停止售票时间:17:30 (4月1日-10月31日 周一-周日), 普通票:80人民币 (1月1日-12月31日 周一-周日),乘坐193路;193路区间;193路快线;356路;381路;506路至花坞校区站下车,（2744条）,http://www.xixisd.com
孤山,孤山是西湖北面的天然岛屿，岛不大，拥有众多历史古迹，有雕塑、博物馆和纪念馆，堪称西湖人文景观最集中的地方。在岛上不仅能感受到深厚的文化底蕴，还能赏西湖美景，几乎每天都有新人在这里拍婚纱照。南面沿湖的孤山路上集中了一些展览馆，浙江省博物馆(孤山馆区)和它周边的几间艺术馆大多以字画等艺术品为主。北宋诗人林逋曾在这里的放鹤亭隐居，他终身以梅为妻，以鹤为子，每年冬春之交仍能看到一小片盛开的梅花。,杭州市西湖区西湖北面（近平湖秋月）,全天,免费,乘y10在浙江博物馆站下车可达,（531条）,
苏堤春晓,·苏堤贯穿西湖南北，是苏东坡在杭州做官时所建，也叫“苏公堤”。·因春景迷人，被称为“苏堤春晓”，是西湖十景之首。·全长近3公里，由南向北有映波、锁澜、望山、压堤、东浦、跨虹六座石桥。·压堤桥适合观赏西湖全景，桥南的御碑亭立有康熙皇帝题写的“苏堤春晓”碑刻。·苏堤两端景点较集中，南端有苏东坡纪念馆可免费参观，北端有岳王庙、曲院风荷等景点，还有《印象西湖》的演出地。,杭州市西湖区西湖风景区内,全天,免费,苏堤南端附近公交站点：苏堤站——途径车次：4路;4路区间;31路;87路;315路;334路;514b线;514路;822路;游6线/y6路。下车后沿南山路东行350米左右可达。净寺站——途径车次：4路;4路区间;31路;52路;87路;287路;287区间;315路;334路;822路;游2/y2路;游6线/y6路。下车后沿南山路西行400米左右可达。苏堤北端附近公交站点：岳庙站——途径车次：7路;27路;27路定时班;51路;52路;118路。下车后沿北山街东行220米左右可达。P.S.乘西湖游船到花港也可抵达苏堤南端;在西湖景区内乘电瓶车同样可到达苏堤。,（2523条）,
西泠印社,·藏有大量名贵印章和字画，因为是《盗墓笔记》中吴邪古董店的原型，也有不少书迷前来探访。·建筑繁多，且充满人文气息。著名的有观乐楼（吴昌硕纪念馆）、石交亭、剔藓亭、题襟馆等建筑。·山上有间石室收藏有东汉“汉三老石碑”，是上世纪初印社社员齐力赎回的国宝；山顶还有一座华严经塔，是印社的标志性建筑。·这里是海内外最高水准的金石篆刻研究团体，展馆有售卖印章和字画，若有兴趣，可选一方印章请师傅刻上名字留作纪念。,杭州市西湖区孤山路31号,09:00-17:00 (1月1日-12月31日 周一-周日),免费,乘坐公交到西泠桥站下车，步行可到。,（820条）,
浙江大学之江校区,整个校园沿着钱塘江边的之江路依山而建，被称为“杭州最美的大学校园”。浙江大学之江校区是当年十三所基督教大学之一，西洋风情浓郁。进入校园后便能看见校园里最美的百年钟楼。朝着15号楼走，附近的情人湖湖水碧绿，湖上有一座石桥，是整个校园中最浪漫的地方。,杭州市西湖区之江路51号,全天,免费,K514路、k318路、k308路、K4路、K504路等可到达之江校区。公交车站：距离校区前门较近的公交车站为“浙大之江校区”，此为小站有4路、190路、308路、280路高峰线、318路、354路、318路、808路。202路为夜间车。距离校区后门较近的公交车站为“九溪”，此为大站，在之江路北侧有4路、808路；南侧（近钱塘江）有189路、190路、308路、279路高峰线、280路高峰线、287路高峰线、291路高峰线、318路、324路、354路、318路、504路、510路、514路。202路为夜间车。,（338条）,
白堤,·原名白沙堤，一端连着断桥，一端接着平湖秋月和孤山，中间是平坦的柏油路。白居易的名句“最爱湖东行不足，绿杨荫里白沙堤”说的就是这里。·道路两边种着整齐的杨柳和桃树，抬眼便是西湖美景，很适合悠闲漫步。·游览白堤四季皆宜，若要欣赏白堤经典的“一株杨柳一株桃”的景色，则须在春天三四月前往，而且最好选择在对面的北山路上观看桃红柳绿的白堤全景，拍出的照片也是最美的。·白堤全长约1公里，步行即可游览，错开游客高峰期，早晚来此最为合适了。,杭州市西湖区孤山后山路1号,全天,免费,旅游定制6号线/旅游定制8号线到平湖秋月站，步行456米,（2541条）,
湘湖,·湘湖被誉为西湖的“姊妹湖”，这里曾是唐代大诗人贺知章的故里，李白、陆游等历代名人都在此留有不朽诗文。·湘湖的湖面大致是个葫芦形，周围有了不少仿古建筑，古香古色，主要景点集中在湖的北部。·景区分为跨湖桥景区、下孙文化区、杭州极地海洋公园等几个区域，在湖边漫步，或游船环湖赏景，都十分惬意。·整个湘湖景区较大，一般会选择乘船游览，当然骑自行车环湖也是不错的选择。,杭州市萧山区风情大道2758号浙江湘湖旅游度假区,全天09:00-16:00(湘湖游船运营时间),免费,乘344、405、515区间、707、716路等公交车在越风楼站下车可达,（241条）,
茅家埠景区,位于杨公堤附近，平时游客不多。是杭州香客从城里去天竺进香的必经之路。景区内处处都是农家乐和湿地，吃饭喝茶的地方非常集中。另外，位于下茅家埠的都锦生故居值得一看。这里更亲近自然的玩法是在水岸观鸟，茅家埠南岸游人稀少，芦苇荡密集，前来越冬的鸟类都喜欢在这里筑巢。,杭州市西湖区杨公堤,全天,免费,乘51、52、194、197、318路等公交车在丁家山景区站下车步行约130米可达,（210条）,
浙江大学玉泉校区,·浙大玉泉校区是知名学府也是浙大最早校区之一，历史的厚重感和优美的风景令人神往。·目前党政机关设在该校区。校区综合办学条件优良，基本设施齐全。·校园环境优美，可以回忆青春的岁月，也是个拍照的好地方。,杭州市西湖区浙大路38号,全天,免费,位于西湖区浙大路，可以乘坐公交车到达乘坐28路、16路、15路、21路、82路、197路可到达玉泉校区正门；194路、92路在古荡站下车，步行即可到达,（385条）,
千岛湖中心湖区,·千岛湖中心湖区是千岛湖的一部分，以山青、水秀、洞奇、石怪、人美而闻名。·这里面积广阔，拥有1078座翠岛，湖内远山的倒影仿佛画一样。·中心湖区是乘船游览最佳的地方，行船之时白色的浪花在碧波之上不断飞溅。·这里也是千岛湖登高揽胜的最佳处，湖湾幽深多姿，景色绚丽多彩。,杭州市淳安县千岛湖镇千岛湖中心湖区,08:00-16:00 (1月1日-12月31日 周一-周日), 门票:150人民币；门票+游船:215人民币 (1月1日-12月31日 周一-周日),外部交通杭州长途汽车西站-千岛湖长途汽车站，早上6：00到18：40分，每30分钟一班，约44元，车程约2小时黄龙旅游集散中心-千岛湖阳光车站，8:00-18:30每1.5小时左右一班城际公交，40元左右，约3小时内部交通到达千岛湖以后，乘船可以到达,（250条）,http://www.1islandlake.com/sy/
西湖音乐喷泉,·位于湖滨三公园附近的湖面上，是一座可以通过水形变化来表现乐曲的音乐喷泉。·喷泉形状呈弧形，有6大喷嘴类别，灯光全采用LED水灯。在长达126米的喷头设置区域，喷嘴可以360度旋转，造型和照明的结合，来反映音乐的内涵及主题，所用乐曲以中国古典乐和进行曲为多。,浙江省杭州市西湖湖滨三公园,"19:00-19:15,20:00-20:15 (1月1日-12月31日 周一-周日)",免费,公交：乘坐Y2路公交车在清波门站下车然后步行即可到达,（1993条）,
灵隐飞来峰,·飞来峰，意思是飞来之石。山峰形态清奇，婉约动人。·四面凌空，视野十分开阔，西看七峰雄姿，东眺玉屏峰石景。·相传此石原在蓬莱仙境，八仙之一铁拐李喝醉酒，被它绊了一下，摔倒在地，不禁恼羞成怒，飞起一脚，把它给踢走，就落在了这里。,浙江省杭州市灵隐路法云弄1号,07:00-17:30 (1月1日-12月31日 周一-周日), 普通票:45人民币 (1月1日-12月31日 周一-周日),乘7、游1线/Y1(外环单线)、游2线/Y2(内环单线)、807、837，灵隐下。,（393条）,
大明山景区,位于安徽浙江交界地带，既有黄山的奇峰怪石，又有浙西山水的明秀。景区内一年四季皆是景色，春天踏青，夏日避暑，冬季是滑雪胜地。穿越万米岩洞、走悬空栈道，坐旱滑道下山，都是不错的体验。大明山三个高山草甸当中，以千亩草甸最为著名，因面积最大且平整，当年被朱元璋选为根据地。龙门峡口是登山的起点，也是大明山峡谷中最为奇特的，往上两千米集中了许多自然风光和人文积淀。,杭州市临安区白果村,08:00-14:30 (1月1日-12月31日 周一-周日), 大明山门票+景区巴士交通:135人民币 (1月1日-12月31日 周一-周日),在杭州长途汽车西站或杭州古荡公交车站坐K598到临安，再从临安西站坐顺溪、白果方向大巴士，在白果大明山路口下车然后包车到大明山门楼售票处下。,（295条）,http://www.zjdms.com
胡雪岩故居,·胡雪岩是晚清时的首富，故居中西建筑风格巧妙结合，极尽奢华的江南园林，堪称晚清中国巨商第一宅。·住宅群落中，十三楼主要用以安置众多妻妾，以风火墙相隔各成单位。芝园为其主体建筑，在当时杭州有“擘飞来峰一支，似狮子林之缩本”之美称。·园内亭台楼阁、小桥流水、明廊暗弄构思巧妙，砖雕、木雕、石雕等无品不精。园中假山为国内现存的最大人工溶洞。·故居内还有董其昌、郑板桥、唐伯虎、文征明等名家的书法石刻作品，还有两顶罕见的红木官轿很值得一看。,杭州市上城区元宝街18号,08:00-17:30 (1月1日-12月31日 周一-周日), 普通票:20人民币 (1月1日-12月31日 周一-周日),公交：乘坐116路、127路、216路、30路等公交线路在“胡雪岩故居”站下车，步行即到。,（540条）,
花港观鱼,·花港观鱼位于西湖南面，曾是南宋官员的私家花园，如今位列“西湖十景”之一。·全园分为红鱼池、牡丹园、花港、大草坪、密林地五个景区。其中前三个景区是游客必去之处。·园中最出名的就数红鱼池中成群结队的红鲤鱼，总有大人小孩拿饲料、面包屑给鱼儿喂食，不亦乐乎。·公园共有三个主要入口，南门在南山路上，西门位于杨公堤，往北也可以走到苏堤上。,杭州市西湖区西山路5-1号,全天,免费,附近公交站点：浴鹄湾站——途径车次：51路；194路；197路；318路；游2/y2路。下车后沿杨公堤由花港公园西门进入即可,（1712条）,
云栖竹径,云栖竹径是一座山坞里的公园，拥有西湖周遭最美的竹海。公园内仍可寻迹到古时云栖古寺的留存，还有回雁峰、宝刀陇、壁观峰等景点，以及千年枫香古树。竹径中央的青石板与两旁的卵石之间用黑砖相隔，相传清代康熙、乾隆二帝都来过云栖，当时以中央为御道，专供皇帝行走。小径旁有洗心、三聚等凉亭。竹径尽头古树成行，有亭可憩，有茶室可小坐品茗。,杭州市五云山南麓的云栖坞里,07:00-17:30 (1月1日-12月31日 周一-周日), 普通票:成人票8人民币/学生票4人民币 (1月1日-12月31日 周一-周日),乘坐Y4、207、508云溪竹径站下车。,（833条）,
梅峰岛,·梅峰岛是登高观湖揽胜的最佳处。山脚下可乘缆车上山，梅峰顶上分东观景台和西观景台。·岛上的精华都在西观景台，从上往下岛屿密布，风景极佳，可以亲身体会青山绿水的意境。·放眼纵览千岛湖，一座座岛屿就像梅花，漂浮在水面上，面积大一点的岛屿港湾纵横交错，在绿岛和绿水之间画上了一道白色的沙滩弧线，“不上梅峰观群岛，不识千岛真面目”名不虚传。,浙江省杭州市淳安县千岛湖镇千岛湖中心湖区(西端的状元半岛上),"08:00-09:00(梅峰岛→渔乐岛→月光岛售票时间),09:30-10:30(月光岛→渔乐岛→梅峰岛售票时间),12:00-13:00(梅峰岛→龙山岛售票时间) (11月1日-次年3月31日 周一-周日)", 中心湖区票价:成人票215人民币/儿童票110人民币/优惠票140人民币；梅峰岛索道成人票:往返60人民币/单上35人民币/单下30人民币；梅峰岛索道儿童票:往返30人民币/单上20人民币/单下15人民币 (1月1日-12月31日 周一-周日),1.乘千岛湖游船中心湖区上午线路上岛，包括梅峰岛、渔乐岛、龙山岛，8:00-9:00售票，9:15发船；9:30-10:30售票，10:45发船。65元/人，1.2-1.5米儿童35元/人，船票当天有效。2.包游艇：豪华游艇150元/人，休闲游艇2500元/趟。注：包豪华艇以6（含）人为基数，超过基数按实际人数计价。,（483条）,http://www.1000islandlake.com/
岳墓栖霞,·岳王庙位于西湖西北角，是为纪念民族英雄岳飞而建。·岳王庙始建于南宋嘉定十四年(1221年)，明景泰年间改称“忠烈庙”，经历了元、明、清、民国时兴时废，代代相传一直留存到现在。·每年入秋，庙背后的栖霞岭上红枫似火，望之如霞。每当夕阳西下时，岳墓上便有了一道道霞光，非常绚美。,杭州市西湖区北山路80号,07:00-20:00 (4月1日-11月30日 周一-周日), 普通票:25人民币 (1月1日-12月31日 周一-周日),乘7、27、27定时班、51、52、118路等公交车在岳庙站下车步行约190米可达,（873条）,
六和听涛,·由北宋高僧为镇钱塘江潮始建，从外面看，近60米的古塔共有13层，塔檐翘角上挂了104只铁铃铛。但其实塔内只有七层，“七明六暗”的构造十分独特。·六和塔里面可以攀登，越往上走楼梯越狭窄，每一层都可以走出去观景，从不同高度眺望远处。·登上塔顶层，可见滚滚的钱塘江就在眼下，钱塘江大桥横跨两岸，江两岸的建筑与绿化尽收眼底。·六和塔自古是文人墨客钟爱的观江吟诗之地，清朝乾隆皇帝游此，曾为每一层题字立匾。,杭州市西湖区之江路16号,06:00-18:30(夏令时) (1月1日-12月31日 周一-周日)06:00-17:30(冬令时) (1月1日-12月31日 周一-周日), 普通票:20人民币 (1月1日-12月31日 周一-周日),乘4、4区间、287、287区间、291、318、334、354路等公交车在六和塔站下车步行约160米可达,（743条）,
富春江,·富春江是钱塘江建德市梅城镇下至萧山区闻家堰段的别称，长110公里，昔有“小三峡”之称·与长江三峡、桂林漓江齐名，两岸山清水秀，江水清碧见底，周边聚集了很多特色的村落，使这里更加美丽。·这里四季皆宜，山水之间还分布着许多名胜古迹，比如“严陵问古”、“桐君山”、“子胥野渡”等。,浙江省桐庐县富春江镇,08:00-17:00 (1月1日-12月31日 周一-周日),免费,从杭州出发的客车班次很多，游客到达杭州后，前往杭州汽车南站乘客车到达桐庐，车程约一个半小时。,（237条）,
柳浪闻莺,·柳浪闻莺是西湖十景之一，位于西湖东南岸，清波门处的大型公园，是人们放松身心的好地方。·南宋时为帝王御花园，称聚景园，清代恢复柳浪闻莺旧景。·园林布局开朗、清新、雅丽、朴实。柳丛衬托着紫楠、雪松、广玉兰及碧桃、海棠、月季等异木名花。是欣赏西子浓妆淡抹的观景佳地。·清幽的环境也很受老年人欢迎，往来的游客也会在此休憩。,杭州市上城区南山路87号,全天,免费,①乘K4、12、102、308、504、K315、Y9、Y1、Y2路、J5、7线柳浪闻莺站；②K4、38路清波门站,（966条）,
千岛湖森林氧吧,拥有千岛湖最好的森林植被，最美自然风光和最佳生态环境，是森林吸氧洗肺的好地方。景区内随处可见溪涧、瀑布；可以在林中走绳桥、荡秋千、和孔雀合影；或是坐滑草，玩滑道，在森林浴的同时享受各种山间野趣。,杭州市淳安县千岛湖镇淡竹王子山,08:00-17:00 (1月1日-12月31日 周一-周日), 门票:成人票60人民币/亲子票（一大一小）90人民币/家庭票（两大一小）150人民币；儿童票（身高1.2-1.5米）:旺季（03.1-11.30）35人民币/淡季（12.1-次年2月底）25人民币；森林滑草:30人民币 (1月1日-12月31日 周一-周日),外部交通1、杭州、上海和南京方向经杭新景高速千岛湖支线，在淡竹出口下，向前4公里处右拐。2、杭州经320国道至建德洋溪右转到06省道至景点。3、千岛湖镇出发走06省道，经三个隧道后左拐上浪黄线2里。内部交通出租车从镇上到景区一般50元左右，车程约30分钟，如果想省钱的话，可以到淳安客运站乘出租，景区门口也有黑车，价钱差不多。,（332条）,
