title,type,house,area,price,lease,region,floor,orient,elevator,parking
整租 · 碧桂苑 3室2厅 2700元,3室2厅2卫,整租,120㎡,2700,1年以内,临安,中楼层/7层,朝南 北,无,暂无数据
整租 · 碧桂苑 3室2厅 2500元,3室2厅2卫,整租,113㎡,2500,1年以内,临安,中楼层/7层,朝南 北,无,暂无数据
大园新城南区 3室2厅 2500元,3室2厅1卫,租赁方式未知,102㎡,2500,暂无数据,临安,低楼层/26层,朝南,暂无数据,暂无数据
越秀星汇城 3室1厅 2600元,3室1厅2卫,租赁方式未知,100㎡,2600,暂无数据,临安,中楼层/31层,朝南,暂无数据,暂无数据
锦福新村 3室2厅 2800元,3室2厅2卫,租赁方式未知,120㎡,2800,暂无数据,临安,中楼层/6层,朝南,无,暂无数据
江南佳苑 3室2厅 2000元,3室2厅2卫,租赁方式未知,136㎡,2000,暂无数据,临安,高楼层/18层,朝南,暂无数据,暂无数据
大园新城南区 2室2厅 1500元,2室2厅1卫,租赁方式未知,50㎡,1500,暂无数据,临安,中楼层/24层,朝南,暂无数据,暂无数据
大园新城南区 3室2厅 2600元,3室2厅2卫,租赁方式未知,135㎡,2600,暂无数据,临安,低楼层/26层,朝南,暂无数据,暂无数据
青山鹤岭 2室2厅 1500元,2室2厅1卫,租赁方式未知,71㎡,1500,暂无数据,临安,低楼层/11层,朝南,暂无数据,暂无数据
整租 · 颐景山庄 3室1厅 3000元,3室1厅1卫,整租,96㎡,3000,暂无数据,富阳,低楼层/6层,朝南,暂无数据,暂无数据
整租 · 龙湖滟澜山茗轩南区三期 3室1厅,3室1厅1卫,整租,89㎡,5800,1~2年,下沙,21/26层,朝南,有,租用车位
整租 · 世纪晶钻 稀 缺户型边套 精装修单身公寓 拎包入住,1室1厅1卫,整租,44㎡,2800,1年以内,萧山,低楼层/26层,朝北,有,暂无数据
整租 · 简装公寓出租 干净整洁 直接入住,1室1厅1卫,整租,49㎡,2600,1~2年,余杭,中楼层/7层,朝西,有,暂无数据
整租 · 中等2室装修，生活设备齐*，可拎包入住,2室1厅1卫,整租,56㎡,4000,1~2年,滨江,中楼层/26层,朝南,有,暂无数据
古新路小区，沈塘桥站地铁口*，,2室1厅1卫,租赁方式未知,61㎡,3900,暂无数据,拱墅,中楼层/5层,朝南,无,暂无数据
凤凰城广场 3室2厅 7500元,3室2厅2卫,租赁方式未知,145㎡,7500,暂无数据,上城,中楼层/28层,朝南,有,暂无数据
整租 · 清爽装修大三房 干净清爽适合朋友一起， 一家人,3室2厅2卫,整租,132㎡,4500,1~2年,江干,低楼层/33层,朝南,有,暂无数据
整租 · 环西新村两居室，户型方正，采光好，拎包入住,2室1厅1卫,整租,43㎡,4500,1年以内,下城,高楼层/7层,朝南,无,租用车位
中山花园 3室1厅 7700元,3室1厅2卫,租赁方式未知,118㎡,7700,暂无数据,下城,高楼层/26层,朝东 东北,有,暂无数据
整租 · 三华园清爽装修，东西可配齐*，随时看房，诚心出租！,1室0厅1卫,整租,35㎡,3200,1~2年,下城,高楼层/23层,朝西,有,暂无数据
米兰公寓 2室1厅 5000元,2室1厅2卫,租赁方式未知,92㎡,5000,暂无数据,下城,低楼层/5层,朝南 北,无,暂无数据
整租 · 房东自住精装修，两房朝南，东边套,2室1厅1卫,整租,58㎡,4500,2~3年,下城,中楼层/7层,朝东南,无,暂无数据
整租 · 朝晖新城 1室1厅 4100元,1室1厅1卫,整租,70㎡,4100,1年以内,下城,高楼层/20层,朝南,有,暂无数据
整租 · 房子为中低层房子,1室1厅1卫,整租,45㎡,3300,2~3年,下城,中楼层/7层,朝南,无,暂无数据
整租 · 朝晖四区 2室2厅 4500元,2室2厅1卫,整租,80㎡,4500,1~2年,下城,低楼层/6层,朝南,无,暂无数据
整租 · 现代名苑，地铁口3房，拎包入住。,3室2厅2卫,整租,140㎡,8000,2~3年,下城,中楼层/29层,朝南,有,暂无数据
长宁街 1室1厅 3300元,1室1厅1卫,租赁方式未知,37㎡,3300,暂无数据,下城,低楼层/7层,朝西,无,暂无数据
永丰巷 2室1厅 4000元,2室1厅1卫,租赁方式未知,60㎡,4000,暂无数据,下城,高楼层/6层,朝南,无,暂无数据
整租 · 郡楓华庭 3室1厅,3室1厅1卫,整租,90㎡,4690,3~6个月,西湖,21/25层,朝南 北,暂无数据,暂无数据
合租 · 耀江文鼎苑 5室1厅,5室1厅2卫,合租,15㎡,1500,7~12个月,西湖,3/18层,朝北,有,租用车位
整租 · 家具家电设施齐*，给你一份温馨的家。,3室2厅1卫,整租,87㎡,7200,1~2年,西湖,中楼层/21层,朝南 北,有,暂无数据
整租 · 翠苑二区 3室1厅 4000元,3室1厅1卫,整租,62㎡,4000,1年以内,西湖,高楼层/7层,朝南 北,无,暂无数据
整租 · 简装一居室 品质小区 看房随时方便 可短租,1室1厅1卫,整租,59㎡,3200,1年以内,西湖,中楼层/5层,朝南,无,暂无数据
整租 · 嘉里桦枫居 2居室 3900,2室2厅1卫,整租,83㎡,3900,1年以内,下城,中楼层/16层,朝南 北,有,暂无数据
整租 · 红枫苑干净清爽两居室，两房朝南，拎包入住,2室1厅1卫,整租,50㎡,4000,1年以内,下城,高楼层/7层,朝南,无,暂无数据
整租 · 锦园小区 3室1厅 7500元,3室1厅1卫,整租,59㎡,7500,2~3年,下城,低楼层/7层,朝南 北,无,暂无数据
整租 · 4号线新塘地铁口，景芳四区两居室。家具家电齐*,2室1厅1卫,整租,61㎡,3800,2~3年,江干,高楼层/7层,朝南,无,租用车位
整租 · 简装小三房 干净又清爽 两室朝南,3室1厅1卫,整租,88㎡,3500,1~2年,江干,低楼层/18层,朝南,有,暂无数据
整租 · 万家花园万和苑 2室1厅 4500元,2室1厅1卫,整租,73㎡,4500,2~3年,江干,中楼层/6层,朝南,无,暂无数据
整租 · 火车东站* 小两房出租，采光充足，配套齐*,2室1厅1卫,整租,61㎡,3300,1年以内,江干,高楼层/18层,朝南,有,暂无数据
整租 · 景冉佳园两房，邻地铁,2室2厅1卫,整租,63㎡,2500,1年以内,江干,高楼层/32层,朝南,有,暂无数据
世茂广场开发商装修一室一厅一阳台公寓，拎包入住,1室1厅1卫,租赁方式未知,68㎡,3200,暂无数据,江干,低楼层/28层,朝南,有,暂无数据
整租 · 海天城自住装修三房，需要一家人，爱家具，爱干净！,3室1厅2卫,整租,133㎡,4600,1年以内,江干,高楼层/29层,朝南,有,暂无数据
整租 · 沁园雅舍 3室2厅 6000元,3室2厅1卫,整租,132㎡,6000,1~2年,江干,低楼层/15层,朝南 北,有,租用车位
整租 · 下沙江滨1号线地铁口 精装公寓 南北通透,2室1厅1卫,整租,101㎡,3700,1年以内,江干,高楼层/28层,朝南,有,暂无数据
景芳三区精装修一居室,1室0厅1卫,租赁方式未知,30㎡,3000,暂无数据,江干,高楼层/6层,朝南,无,暂无数据
整租 · 海天城三房，交通便利，看房方便，拎包入住。,3室1厅2卫,整租,130㎡,4200,1年以内,江干,低楼层/29层,朝南,有,暂无数据
整租 · 红街公寓 2室1厅 4000元,2室1厅1卫,整租,89㎡,4000,1年以内,江干,低楼层/18层,朝南,有,暂无数据
整租 · 东岸三区 小两房出租 两室朝南 采光通风都好 拎包入住,2室1厅1卫,整租,58㎡,3200,1年以内,江干,中楼层/17层,朝南,有,暂无数据
整租 · 房子首 次出租  精装两居室  欢迎您的入住,2室1厅1卫,整租,54㎡,4000,2~3年,江干,高楼层/7层,朝南,无,暂无数据
整租 · 金雅苑社区 朝南小三房 精装修 家具家电齐*,2室1厅1卫,整租,86㎡,4200,1年以内,江干,低楼层/9层,朝南,有,暂无数据
金沙居 1室1厅 2100元,1室1厅1卫,租赁方式未知,46㎡,2100,暂无数据,江干,高楼层/18层,朝南,有,暂无数据
整租 · 阳光逸城 2居室 2550,2室1厅1卫,整租,62㎡,2550,1年以内,江干,低楼层/15层,朝南,有,暂无数据
整租 · 阳光逸城 2居室 2700,2室1厅1卫,整租,61㎡,2700,1年以内,江干,低楼层/15层,朝南,有,暂无数据
整租 · 广宇东承府 2居室 3000,2室1厅1卫,整租,89㎡,3000,1年以内,江干,中楼层/17层,朝南 北,有,暂无数据
整租 · 美政花苑 清爽装修 可直接拎包入住,3室1厅1卫,整租,72㎡,5500,1年以内,上城,中楼层/7层,朝南 北,无,暂无数据
信余里 1室1厅 3500元,1室1厅1卫,租赁方式未知,41㎡,3500,暂无数据,上城,中楼层/8层,朝东 西,无,暂无数据
整租 · 美政花苑清爽装修两房，楼层好采光充足，拎包入住,2室1厅1卫,整租,48㎡,3600,1年以内,上城,高楼层/7层,朝南 北,无,暂无数据
整租 · 十三湾巷 2室1厅 4300元,2室1厅1卫,整租,61㎡,4300,暂无数据,上城,高楼层/6层,朝南,无,暂无数据
整租 · 近江家园八园 1室0厅 3600元,1室0厅1卫,整租,35㎡,3600,1~2年,上城,中楼层/7层,朝南 北,无,租用车位
近江家园九园 1室1厅 4000元,1室1厅1卫,租赁方式未知,46㎡,4000,暂无数据,上城,低楼层/6层,朝南,无,暂无数据
"整租 · 
景江城市花园 依钱塘江 装修好 拎包入住",1室0厅1卫,整租,44㎡,4100,1年以内,上城,高楼层/33层,朝东北,有,租用车位
清河家园 1室0厅 2800元,1室0厅1卫,租赁方式未知,35㎡,2800,暂无数据,上城,低楼层/6层,朝南 北,无,暂无数据
翰林花园 2室1厅 4500元,2室1厅1卫,租赁方式未知,67㎡,4500,暂无数据,上城,中楼层/7层,朝南,无,暂无数据
整租 · 近江五园 临地铁 家具家电齐* 装修好 电梯房,2室2厅1卫,整租,66㎡,5000,1年以内,上城,高楼层/7层,朝南,无,租用车位
柳浪东苑 2室1厅 6000元,2室1厅1卫,租赁方式未知,49㎡,6000,暂无数据,上城,中楼层/7层,朝南 北,有,暂无数据
整租 · 凤凰北苑 低楼层 2室一厅 房东诚心出租,2室1厅1卫,整租,70㎡,5000,1~2年,上城,低楼层/7层,朝南,无,暂无数据
整租 · 西湖边少有电梯房 清爽装修 随时入住,1室1厅1卫,整租,40㎡,3500,1年以内,上城,高楼层/17层,朝西,有,暂无数据
紫花苑 2室1厅 3500元,2室1厅1卫,租赁方式未知,54㎡,3500,暂无数据,上城,中楼层/6层,朝南,无,暂无数据
整租 · 景江城市花园  小套公寓  适合情侣家人居住,1室1厅1卫,整租,51㎡,3600,1年以内,上城,低楼层/33层,朝东北,有,暂无数据
左家新村 2室1厅 5000元,2室1厅1卫,租赁方式未知,81㎡,5000,暂无数据,拱墅,高楼层/20层,朝西北,有,暂无数据
合租 · 拱苑小区 4室2厅,4室2厅2卫,合租,20㎡,1800,7~12个月,拱墅,5/6层,朝南,无,租用车位
合租 · 拱苑小区 4室2厅,4室2厅2卫,合租,25㎡,2400,7~12个月,拱墅,5/6层,朝北,无,租用车位
米市新村 1室1厅 3800元,1室1厅1卫,租赁方式未知,35㎡,3800,暂无数据,拱墅,高楼层/6层,朝南,无,暂无数据
整租 · 天阳尚景国际，自住装修，看房方便，户型方正,2室2厅2卫,整租,94㎡,6800,1~2年,拱墅,低楼层/24层,朝南 北,有,暂无数据
整租 · 天悦时代 2室1厅,2室1厅1卫,整租,70㎡,4150,3~12个月,拱墅,15/15层,朝西,暂无数据,租用车位
大塘新村 2室1厅 4300元,2室1厅1卫,租赁方式未知,46㎡,4300,暂无数据,拱墅,低楼层/7层,朝南,无,暂无数据
稻香园南区 2室2厅 4600元,2室2厅1卫,租赁方式未知,68㎡,4600,暂无数据,拱墅,中楼层/7层,朝南,无,暂无数据
稻香园南区 3室2厅 6000元,3室2厅1卫,租赁方式未知,99㎡,6000,暂无数据,拱墅,高楼层/18层,朝西北,有,暂无数据
近几年婚房，精装修，品牌家电，,2室1厅1卫,租赁方式未知,50㎡,3400,暂无数据,拱墅,中楼层/5层,朝南,无,暂无数据
稻香园南区 3室1厅 6000元,3室1厅1卫,租赁方式未知,110㎡,6000,暂无数据,拱墅,中楼层/18层,朝南,有,暂无数据
春波西苑 2室2厅 5500元,2室2厅1卫,租赁方式未知,81㎡,5500,暂无数据,滨江,低楼层/6层,朝南 北,无,暂无数据
瑞立中央花城 1室1厅 4600元,1室1厅1卫,租赁方式未知,45㎡,4600,暂无数据,滨江,中楼层/31层,朝北,有,暂无数据
欣盛东方郡东区 2室2厅 6500元,2室2厅1卫,租赁方式未知,88㎡,6500,暂无数据,滨江,低楼层/27层,朝南,有,暂无数据
整租 · 东方郡东区自住装修6600拎包入住,2室2厅1卫,整租,87㎡,6500,1年以内,滨江,低楼层/33层,朝南,有,暂无数据
温兴风情苑 三房两厅两卫 业主自住装修,3室2厅2卫,租赁方式未知,105㎡,5900,暂无数据,滨江,高楼层/6层,朝南,无,暂无数据
荣安望江南 3室2厅 7500元,3室2厅1卫,租赁方式未知,89㎡,7500,暂无数据,滨江,高楼层/25层,朝南,有,暂无数据
云厦连园 两房两厅 双阳台 *朝南,2室1厅1卫,租赁方式未知,88㎡,4500,暂无数据,滨江,低楼层/11层,朝南,有,暂无数据
欣盛东方郡东区 2室1厅 6300元,2室1厅1卫,租赁方式未知,87㎡,6300,暂无数据,滨江,中楼层/30层,朝南,有,暂无数据
欣盛东方郡西区 3室1厅 6700元,3室1厅1卫,租赁方式未知,117㎡,6700,暂无数据,滨江,中楼层/33层,朝南,有,暂无数据
整租 · 滨文苑原户型 采光好 南北通透 自住装修 交通出行方便,3室2厅2卫,整租,117㎡,5800,1年以内,滨江,低楼层/11层,朝南,有,暂无数据
荣安望江南温馨二房，只差遇见有缘的你！,2室1厅1卫,租赁方式未知,88㎡,7500,暂无数据,滨江,中楼层/26层,朝南,有,暂无数据
整租 · 铁岭花园 2居室 4300,2室1厅1卫,整租,55㎡,4300,1年以内,滨江,高楼层/6层,朝南 北,无,暂无数据
整租 · 风雅钱塘 2居室 6600,2室2厅1卫,整租,102㎡,6600,1年以内,滨江,低楼层/32层,朝南,有,暂无数据
整租 · 荣安望江南 2居室 6000,2室2厅1卫,整租,89㎡,6000,1年以内,滨江,高楼层/25层,朝南 北,有,暂无数据
整租 · 玲珑府 3居室 5200,3室1厅1卫,整租,48㎡,5200,1年以内,滨江,低楼层/21层,朝西,有,暂无数据
整租 · 绿地旭辉城 3居室 6200,3室1厅1卫,整租,89㎡,6200,1年以内,滨江,高楼层/47层,朝南,有,暂无数据
整租 · 铂金时代公寓 3居室 9800,3室2厅2卫,整租,132㎡,9800,1年以内,滨江,低楼层/30层,朝南,有,暂无数据
合租 · 紫晶时代 5室1厅,5室1厅2卫,合租,15㎡,1335,1~2年,余杭,6/6层,朝南,暂无数据,暂无数据
房东个人原因，忍心出租，价格实惠,2室1厅1卫,租赁方式未知,63㎡,4500,暂无数据,萧山,低楼层/24层,朝东 北,有,暂无数据
整租 · 小巧户型 精装 小型居家 拎包入住,1室1厅1卫,整租,40㎡,2800,1年以内,萧山,高楼层/22层,朝西,有,暂无数据
整租 · 宝龙城市广场 3室2厅 LOFT,3室2厅1卫,整租,62㎡,4000,6~12个月,下沙,22/22层,朝西南,有,租用车位
整租 · 宝龙城市广场 3室1厅 LOFT,3室1厅1卫,整租,44㎡,3500,1~2年,下沙,9/22层,朝西南,有,租用车位
整租 · 福雷德广场艾肯金座 1室1厅,1室1厅1卫,整租,47㎡,2500,1~2年,下沙,12/30层,朝北,有,租用车位
整租 · 之江铭楼 1室1厅,1室1厅1卫,整租,60㎡,2300,3~12个月,下沙,4/16层,朝南,有,租用车位
整租 · 富阳银湖野风秋雅三室两厅新装修好房出租,3室2厅2卫,整租,90㎡,3000,暂无数据,富阳,中楼层/24层,朝南,有,暂无数据
野风秋雅 4室2厅 3500元,4室2厅2卫,租赁方式未知,125㎡,3500,暂无数据,富阳,高楼层/24层,朝南,暂无数据,暂无数据
野风秋雅 3室2厅 3000元,3室2厅2卫,租赁方式未知,88㎡,3000,暂无数据,富阳,高楼层/24层,朝南,暂无数据,暂无数据
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,18㎡,600,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
富阳区回春路、低楼层、开放式小区，租金低！,2室2厅1卫,租赁方式未知,56㎡,1300,暂无数据,富阳,中楼层/5层,朝南,无,暂无数据
鹳山社区 4室2厅 2500元,4室2厅2卫,租赁方式未知,125㎡,2500,暂无数据,富阳,高楼层/6层,朝南,无,暂无数据
阳光里 3室2厅 4500元,3室2厅2卫,租赁方式未知,130㎡,4500,暂无数据,富阳,低楼层/9层,朝南,暂无数据,暂无数据
阳光里 2室2厅 3000元,2室2厅1卫,租赁方式未知,87㎡,3000,暂无数据,富阳,高楼层/5层,朝南,无,暂无数据
阳光里 4室2厅 4500元,4室2厅2卫,租赁方式未知,126㎡,4500,暂无数据,富阳,中楼层/5层,朝南,无,暂无数据
华庭云顶 1室0厅 1200元,1室0厅1卫,租赁方式未知,46㎡,1200,暂无数据,富阳,低楼层/24层,朝东南,有,暂无数据
大户型野风春晓120方三房两卫精装出租,3室2厅2卫,租赁方式未知,120㎡,3000,暂无数据,富阳,高楼层/18层,朝南,暂无数据,暂无数据
野风春晓 2室1厅 2000元,2室1厅1卫,租赁方式未知,58㎡,2000,暂无数据,富阳,低楼层/24层,朝东南,暂无数据,暂无数据
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,16㎡,760,4~24个月,富阳,5/6层,朝南,无,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,12㎡,520,4~24个月,富阳,5/6层,朝北,无,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,15㎡,620,4~24个月,富阳,5/6层,朝南,无,租用车位
华庭云顶 1室1厅 1200元,1室1厅1卫,租赁方式未知,46㎡,1200,暂无数据,富阳,低楼层/24层,朝东南,有,暂无数据
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,12㎡,449,4~24个月,富阳,5/18层,朝北,暂无数据,租用车位
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,15㎡,550,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,13㎡,550,4~24个月,富阳,3/11层,朝南,暂无数据,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,16㎡,650,4~24个月,富阳,3/11层,朝南,暂无数据,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,12㎡,450,4~24个月,富阳,3/11层,朝北,暂无数据,租用车位
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,16㎡,650,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,12㎡,450,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,12㎡,600,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
镬子山社区 2室1厅 1300元,2室1厅1卫,租赁方式未知,72㎡,1300,暂无数据,富阳,高楼层/6层,朝东,无,暂无数据
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,18㎡,900,4~24个月,富阳,5/6层,朝南,无,租用车位
合租 · 梓树花苑 4室1厅,4室1厅2卫,合租,18㎡,800,4~24个月,富阳,3/11层,朝南,暂无数据,租用车位
合租 · 施家园花苑北区 4室1厅,4室1厅2卫,合租,18㎡,800,4~24个月,富阳,5/18层,朝南,暂无数据,租用车位
青山鹤岭 4室2厅 2600元,4室2厅2卫,租赁方式未知,127㎡,2600,暂无数据,临安,高楼层/11层,朝南,暂无数据,暂无数据
青山鹤岭 2室2厅 1800元,2室2厅1卫,租赁方式未知,71㎡,1800,暂无数据,临安,中楼层/18层,朝南,有,暂无数据
整租 · 石板巷新村 精装两房 装修好 拎包入住,2室1厅1卫,整租,40㎡,4200,1~2年,下城,低楼层/6层,朝南,无,租用车位
整租 · 现代名苑，地铁口3房，拎包入住。,3室2厅2卫,整租,140㎡,8500,2~3年,下城,中楼层/28层,朝南,有,暂无数据
钛合国际 1室1厅 6200元,1室1厅1卫,租赁方式未知,81㎡,6200,暂无数据,下城,中楼层/27层,朝东 东南,有,暂无数据
整租 · 河罕上 2室1厅 4300元,2室1厅1卫,整租,40㎡,4300,1~2年,下城,中楼层/6层,朝南,无,暂无数据
整租 · 流水苑 2室1厅 3200元,2室1厅1卫,整租,50㎡,3200,1~3个月,下城,低楼层/7层,朝南,无,暂无数据
绿洲花园 4室1厅 10000元,4室1厅2卫,租赁方式未知,167㎡,10000,暂无数据,下城,中楼层/23层,朝南,有,暂无数据
林司后 2室2厅 4200元,2室2厅1卫,租赁方式未知,49㎡,4200,暂无数据,下城,高楼层/7层,朝南,无,暂无数据
泰和苑 2室1厅 5500元,2室1厅1卫,租赁方式未知,93㎡,5500,暂无数据,下城,低楼层/22层,朝南,有,暂无数据
整租 · 简装一房，价格便宜，楼层好采光无遮挡,1室1厅1卫,整租,33㎡,2500,1年以内,下城,中楼层/6层,朝南,无,暂无数据
整租 · 贴沙河 中江花园 2套房子 整体出租,3室1厅2卫,整租,78㎡,6000,1~2年,下城,高楼层/7层,朝东 西,无,暂无数据
杭州东部国际商务中心 1室1厅 3500元,1室1厅1卫,租赁方式未知,60㎡,3500,暂无数据,江干,低楼层/25层,朝北,有,暂无数据
整租 · 地铁近，户型正，小三房，价格优美,3室1厅1卫,整租,88㎡,3000,1年以内,江干,低楼层/11层,朝南 北,有,租用车位
整租 · 朗诗跃层精装两房，家电齐*，拎包入住 跃层,2室1厅1卫,整租,81㎡,3500,1年以内,江干,高楼层/32层,朝南 北,有,暂无数据
"整租 · 文泽路地铁口简装, 欢迎年轻的租户入住",1室0厅1卫,整租,38㎡,2300,1年以内,江干,中楼层/24层,朝南,有,租用车位
整租 · 世茂广场精装公寓，随时看房，拎包入住,1室0厅1卫,整租,47㎡,2300,1年以内,江干,中楼层/28层,朝南,有,暂无数据
整租 · 地铁口2房，家具家电配备齐*，房子朝阳，采光好。,2室2厅1卫,整租,85㎡,3800,1年以内,江干,中楼层/17层,朝南,有,暂无数据
整租 · 海天城大三房，随时可以入住，看房方便,3室1厅1卫,整租,131㎡,3300,1年以内,江干,低楼层/29层,朝南,有,暂无数据
合租 · 金沙学府 1室1厅 跃层,1室1厅1卫,合租,50㎡,2000,1年,江干,6/6层,朝南,暂无数据,暂无数据
整租 · 文泽路优质房源，拎包入住,1室1厅1卫,整租,53㎡,3000,3年以上,江干,高楼层/28层,朝北,有,租用车位
整租 · 宝龙城市广场 3室1厅 复式,3室1厅1卫,整租,60㎡,3600,3~12个月,江干,26/26层,朝南,暂无数据,暂无数据
"整租 · 
下沙金沙湖地铁站 洋房自住装修 拎包入住",2室1厅1卫,整租,99㎡,4300,1年以内,江干,中楼层/5层,朝南,有,暂无数据
整租 · 和达城 1室1厅,1室1厅1卫,整租,50㎡,3200,1~24个月,江干,14/28层,朝南,有,租用车位
整租 · 华元云水苑 1室1厅,1室1厅1卫,整租,47㎡,2100,2~12个月,江干,7/11层,朝南,有,租用车位
整租 · 德信早城 2室2厅,2室2厅1卫,整租,89㎡,5000,3~12个月,江干,2/18层,朝南,有,租用车位
大王庙巷小区 2室1厅 4000元,2室1厅1卫,租赁方式未知,52㎡,4000,暂无数据,上城,高楼层/7层,朝南,无,暂无数据
整租 · 武林门，环城北路，自住装修，清爽一居室，诚心出租！,1室1厅1卫,整租,50㎡,3800,2~3年,拱墅,高楼层/4层,朝南,无,租用车位
瑞立中央花城 2室1厅 6200元,2室1厅1卫,租赁方式未知,82㎡,6200,暂无数据,滨江,低楼层/31层,朝南 北,有,暂无数据
整租 · 乔司商贸苑跃层简单装修，良心价出租。 跃层,2室1厅1卫,整租,49㎡,2800,1年以内,余杭,高楼层/7层,朝西,有,暂无数据
众安嘉润公馆 1室1厅 5000元,1室1厅1卫,租赁方式未知,70㎡,5000,暂无数据,萧山,低楼层/30层,朝南,有,暂无数据
宝龙城市广场 3室1厅 3800元,3室1厅1卫,租赁方式未知,89㎡,3800,暂无数据,下沙,高楼层/23层,朝南,无,暂无数据
颐景山庄 3室2厅 3100元,3室2厅1卫,租赁方式未知,107㎡,3100,暂无数据,富阳,低楼层/5层,朝东南,无,暂无数据
铭鹤花园 2室2厅 2800元,2室2厅1卫,租赁方式未知,88㎡,2800,暂无数据,富阳,低楼层/7层,朝南,暂无数据,暂无数据
整租 · 低楼层 双落地窗设计 采光极好 美和院精装拎包入住,1室1厅1卫,整租,44㎡,1500,3年以上,富阳,低楼层/10层,朝北,暂无数据,暂无数据
野风春晓 3室2厅 3000元,3室2厅1卫,租赁方式未知,88㎡,3000,暂无数据,富阳,低楼层/18层,朝东南,暂无数据,暂无数据
天鸿美和院 1室0厅 2000元,1室0厅1卫,租赁方式未知,44㎡,2000,暂无数据,富阳,低楼层/15层,朝北,暂无数据,暂无数据
城东社区 2室1厅 1500元,2室1厅1卫,租赁方式未知,78㎡,1500,暂无数据,富阳,低楼层/7层,朝南,无,暂无数据
整租 · 华庭云顶 2室2厅 2380元,2室2厅1卫,整租,91㎡,2380,1年以内,富阳,中楼层/10层,朝东南,暂无数据,暂无数据
整租 · 富阳区恩波大道新小区虎山雅苑，环境优美，离车站近,2室1厅1卫,整租,106㎡,3000,1~2年,富阳,低楼层/28层,朝南,暂无数据,暂无数据
整租 · 杭州富阳客运站*边，城东市场，孙权路出租套房,3室1厅1卫,整租,96㎡,1800,暂无数据,富阳,低楼层/6层,朝南,无,暂无数据
整租 · 虎山雅苑，新楼盘，新小区，环境优美，拎包入住！,2室2厅1卫,整租,105㎡,3000,1~2年,富阳,低楼层/28层,朝东南,暂无数据,暂无数据
整租 · 镬子山社区 3室1厅 1500元,3室1厅1卫,整租,72㎡,1500,1年以内,富阳,高楼层/6层,朝南,无,暂无数据
