name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address
吴小糖沙拉煎饼(星耀城店),小吃快餐,￥13,四星商户,87.0,7.8,7.8,8.0,香酥鸡柳里脊煎饼,韩式海苔肉松煎饼,双蛋香酥鸡柳煎饼,开发区/高教园,江陵路丹枫路交叉口星耀城2期1楼041
上佳卤大肠,小吃快餐,￥42,准五星商户,261.0,8.9,8.3,8.9,卤大肠,盐水泡椒卤猪肚,盐水泡椒卤猪心,朝晖地区,文晖路240号
佳藕天成,小吃快餐,￥21,准五星商户,714.0,8.5,9.1,8.6,西湖藕粉西湖龙井味,西湖藕粉冰糖桂花味,藕冻粉,吴山广场/河坊街,中山中路27号~29号
李渔和他的两頭烏(余之城店),小吃快餐,￥31,四星商户,142.0,8.0,8.8,8.3,兰溪牛肉面,鸡仔粿,笋尖肉汤圆,余之城购物中心,南苑街道迎宾路501号余之城东区122单元一楼
牛得多(平海路店),面馆,￥22,四星商户,214.0,7.8,8.4,8.1,海苔肉松煎饼,番茄牛肉面,原味牛肉粉丝,平海路,平海路61号
鱼朝·野生鱼府(中赢国际店),火锅,￥121,四星商户,744.0,7.7,8.0,8.0,玉米饼,开化野生鮰鱼,开化野生鱼勾,开发区/高教园,江晖路中赢国际1190-1192号
早城故食(古墩路店),小吃快餐,￥22,准五星商户,157.0,8.3,8.9,8.6,元宝煎饺,豆浆,西施豆腐,古墩路沿线,古墩路嘉绿景苑东西园7幢6号商铺
张老大功夫煎饼(星光百货店),小吃快餐,￥18,四星商户,460.0,8.2,7.9,8.6,至尊烤冷面,芝士烤肠煎饼,烤冷面多洋葱,开发区/高教园,泰安路9号
江南春,小吃快餐,￥9,准五星商户,276.0,8.7,8.4,8.6,条头糕,双酿团,薄荷糕,湖滨,中山中路356号
宝美点心,小吃快餐,￥13,四星商户,1688.0,8.5,7.2,7.4,特色葱煎包,鲜肉小馄饨,牛肉粉丝,城站火车站,城头巷108号
遵义羊肉粉(华元欢乐城店),小吃快餐,,准四星商户,9.0,7.4,7.3,7.6,招牌牛肉面,招牌羊肉面,牛肚面,临平,华元欢乐城憨憨熊美食广场6楼
乡佳米糕(中山北路店),小吃快餐,￥38,准五星商户,149.0,8.4,8.8,9.1,传统打糕,雪糕组合,五色彩打糕,凤起路沿线,二圣庙前52-1号
8h甜品吧,小吃快餐,￥24,准五星商户,51.0,8.7,8.5,8.9,我很芒代餐厚酸奶,谷物缤纷代餐厚酸奶,杨枝甘露胖胖,开发区/高教园,江陵路星耀城一期2幢2楼225
幸福里九尺巷,小吃快餐,￥55,四星商户,216.0,8.1,8.5,8.3,巷子狮子头,幸福里包子,幸福甜甜虾,中大银泰,杭州中大银泰城购物中心（东新路822号、石祥路138号内）3层L305号
蕙心,小吃快餐,￥16,准五星商户,926.0,9.0,7.5,8.0,笋尖烧麦,蛋黄大馄饨干捞,笋尖小馄饨,大关,德苑路83-1号
卤儿道道,小吃快餐,,准四星商户,4.0,7.5,7.3,7.3,状元大排,卤儿白饭,高山娃娃菜,吴山广场/河坊街,湖滨in77E区-2楼
犁村(物美店),小吃快餐,￥35,准五星商户,181.0,8.5,9.0,8.8,甘梅薯条,培根青酱意大利面,番茄肉酱意面,下沙,5号大街285号转角
大雄家烧味钵仔,粤菜,￥37,准五星商户,660.0,8.9,8.8,9.1,椰汁紫米红豆沙,烧鸭叉烧钵仔饭,玫瑰油鸡钵仔饭,高新文教区,黄姑山路32号
早城故食(新华路店),小吃快餐,￥21,四星商户,831.0,8.0,8.2,8.1,糖醋煎饺,西施豆腐,芝麻桂花炒年糕,凤起路沿线,新华路99号
江南春糕团店,小吃快餐,￥11,准五星商户,299.0,8.4,8.3,8.2,条头糕,双酿团子,擂沙汤圆,城站火车站,解放路47号旅游职业学校南门对面
辣丁派捞汁小海鲜,小吃快餐,,准四星商户,8.0,7.1,7.1,7.1,精致蟹钳,爆品扇贝,雪碧,下沙,金沙大道
老头葱包烩摊,小吃快餐,￥5,准五星商户,169.0,9.0,7.9,9.0,葱包烩,蛋饼,葱包桧,城站火车站,庆春路文化用品市场里
春熙禄潮范儿成都菜(西湖银泰店),川菜,￥80,准五星商户,1524.0,8.8,8.8,8.7,鲜椒花刀鱼,宫保鸡丁,钵钵鸡,西湖银泰,延安路西湖银泰3楼
小食札记,小吃快餐,￥32,准五星商户,347.0,8.6,8.7,8.6,红油抄手,四爸牛肉面,担担面,开发区/高教园,星耀城2栋113商铺
小日子,小吃快餐,￥21,四星商户,59.0,8.0,8.0,7.8,招牌鲜肉小笼,笋丁金针菇烧卖,豆角包,城厢,萧绍路萧然东路23、25号
鱼你说酸菜鱼米饭(星耀城店),小吃快餐,￥23,准四星商户,79.0,7.7,7.6,7.6,金汤酸菜鱼,原味酸菜鱼,青花椒酸菜鱼,开发区/高教园,江陵路丹枫路交叉口星耀城2期1楼041
杭州知味观·特色小吃点心(湖滨店),小吃快餐,￥61,准四星商户,14206.0,7.1,6.9,6.7,精品小笼包,猫耳朵,糯米糖藕,湖滨,仁和路83号一楼
青茶(西湖银泰店),小吃快餐,￥30,四星商户,1716.0,7.6,8.2,8.0,豆浆,葱油拌面,麻糍,西湖银泰,西湖银泰定安路外围一楼
年糕先生(城西店),小吃快餐,￥27,四星商户,453.0,8.0,7.9,7.8,年糕手卷,岩蒜烩年糕,网红米饭定食,城西银泰,塘萍路方家花苑17号商铺
葱包桧,小吃快餐,￥4,准五星商户,749.0,8.4,7.5,8.6,葱包烩,葱包桧,油条,吴山广场/河坊街,后市街44号对面
匆忙客夜宵烧烤小龙虾烤鱼,小吃快餐,￥34,准四星商户,4.0,7.0,7.0,7.0,鸡蛋饺,红烧小狮子头,洋葱肥肠,富阳区其他,高桥东路1号
新丰小吃(庆春店),小吃快餐,￥14,四星商户,1715.0,7.8,7.2,7.1,虾肉小笼包,牛肉粉丝,虾肉馄饨,庆春路沿线,庆春路209号天阳明珠商业中心1-2层
老盛昌汤包馆,小吃快餐,￥18,四星商户,569.0,8.0,7.9,7.7,苏州汤包,牛肉粉丝汤,咸蛋黄汤包,平海路,中山中路554号
陇上秦轩biangbiang面(龙湖滨江天街店),面馆,￥33,四星商户,297.0,8.3,8.6,8.3,biangbiang面,凉皮,腊汁肉夹馍,开发区/高教园,江汉路1515号B1-22B
龙翔臭豆腐,小吃快餐,￥12,准五星商户,1027.0,8.5,7.4,8.2,臭豆腐,炸年糕,甜酱,吴山广场/河坊街,高银街25号
游埠豆浆,小吃快餐,￥8,四星商户,1350.0,8.3,6.8,7.2,咸浆,大饼油条,葱油烧饼,吴山广场/河坊街,城隍牌楼巷108号
二师兄的脊梁(来福士店),小吃快餐,￥32,四星商户,292.0,8.2,8.2,8.1,悟能之背·脊骨套餐,倔强的脊骨,骨感风情·排骨套餐,钱江新城,来福士广场B1-01
喜锅捞饭,小吃快餐,￥35,四星商户,149.0,8.3,8.4,8.6,鲍汁鸡丝捞饭,桃花酒,罗汉果红糖雪梨汤,庆春路沿线,庆春路86号世纪联华5楼乐胃辰光美食城
漫芝坞(滨江店),小吃快餐,￥45,准五星商户,224.0,8.7,9.1,8.9,招牌三拼饭,梅子酒,漫芝坞秘制卤肉饭,开发区/高教园,滨盛路3867号宝龙城2幢117室
年糕先生(天虹店),小吃快餐,￥18,四星商户,215.0,8.0,7.8,7.9,年糕手卷,豪华海鲜熬汤年糕,精品猪肉盒子,天虹购物中心,凤起东路新塘路108号天虹购物中心B座5楼
温州松糕馆,小吃快餐,￥21,四星商户,344.0,7.9,7.4,7.5,传统糯米饭,红豆松糕,鱼饼,高新文教区,教工路252号
嵊州小吃(密渡桥路店),小吃快餐,￥23,四星商户,119.0,8.3,7.6,8.1,特色豆腐年糕,小笼包,铁板蛋煎饺,湖墅南路,密渡桥路88号
小桂林米粉,小吃快餐,￥22,准五星商户,318.0,8.9,8.2,8.8,招牌卤肉粉,酸笋牛腩粉,秘制笋尖牛腩粉,和平广场,东新路155号世纪联华和平购物城大门右侧花园内
糊糊(滨江龙湖天街店),小吃快餐,￥20,四星商户,48.0,8.2,8.4,8.5,大满贯冰粉,姜汁核桃炖蛋,糍粑,开发区/高教园,江南大道龙湖天街6楼
方老大馄饨(抚宁巷店),小吃快餐,￥27,四星商户,848.0,8.5,7.0,7.5,特色腰花片儿川,茄汁拌川,爆鳝片儿川,吴山广场/河坊街,抚宁巷50-1号
手工仙豆糕,小吃快餐,￥15,准四星商户,1072.0,7.4,7.3,7.3,紫薯芝士仙豆糕,芋泥仙豆糕,抹茶仙豆糕,吴山广场/河坊街,河坊街158号
卤鸭儿(小河路店),小吃快餐,￥56,准五星商户,158.0,8.6,7.6,7.8,卤鸭儿,椒盐里脊,臭豆腐,拱宸桥/上塘,小河路409号
孙奶奶葱包烩,小吃快餐,￥10,四星商户,655.0,8.1,7.3,8.6,葱包桧儿,葱包烩素烧鹅,桂花糕,吴山广场/河坊街,中山南路391号
卤儿道道(国大城市广场店),小吃快餐,￥39,四星商户,1094.0,8.3,8.2,8.0,卤鸡爪,椰汁米汤,腊味炒饭,武林广场,延安路609号国大城市广场B2层
有家牛馆·中式牛排(滨江天街铂金岛店),小吃快餐,￥62,准五星商户,59.0,8.3,8.1,8.5,牛排,牛杂粉,牛杂拼盘,开发区/高教园,江南大道龙湖天街铂金岛1幢123室
凉生肉夹馍(西湖银泰店),小吃快餐,￥21,四星商户,185.0,8.2,8.2,8.5,咖喱牛肉汤,经典腊汁肉夹馍,叉烧肉夹馍,吴山广场/河坊街,延安路98号地下113室
优壹佳,小吃快餐,￥32,准五星商户,502.0,8.5,7.9,8.5,冷面,韩式烤肉拌饭,打糕,凤起路沿线,中山北路165号
cut8pieces创始人总店,西餐,￥76,准五星商户,169.0,8.7,8.3,8.7,芝士温泉披萨,榴莲芝士披萨,摩卡爆珠披萨,新天地,长浜路718号新天地购物中心2楼
和府捞面(万象城购物中心店),小吃快餐,￥44,四星商户,691.0,8.2,8.7,8.4,草本汤猪软骨面,香草番茄汤.猪软骨面,卤蛋,钱江新城,富春路701号万象城购物中心二期B1层B1S22号商铺
卤鸭儿(文晖路店),小吃快餐,￥53,四星商户,378.0,8.5,8.1,7.8,卤鸭儿,石锅臭豆腐,鲍汁芋艿,朝晖地区,文晖路128号附3号
周记炒货(湖墅南路店),小吃快餐,￥41,准五星商户,715.0,8.7,8.5,8.6,糖炒栗子,临安山核桃,新疆有机原味瓜子,湖墅南路,夹城巷7号天天好大药房对面
蒋师傅美食酥鱼,小吃快餐,￥23,五星商户,67.0,9.1,8.3,8.9,蒋师傅美食酥鱼,野生小白条,蒋师傅小鱼儿,吴山广场/河坊街,察院前巷225号
周萍粽子店,小吃快餐,￥9,准五星商户,176.0,8.6,7.6,8.4,中肉粽子,大肉粽子,蜜枣粽,吴山广场/河坊街,城隍牌楼巷17号
禄鼎鸡,小吃快餐,￥32,准五星商户,153.0,8.6,8.2,8.8,白切鸡,口水鸡饭,手撕鸡,庆春路沿线,中山北路33号
小鱼海饭(庆春店),小吃快餐,￥46,准五星商户,576.0,8.3,8.4,8.4,经典三文鱼波奇饭,经典蟹肉波奇,金槍魚波奇飯,钱江新城,太平门直街389号
争火烫捞(西溪银泰店),小吃快餐,￥30,准五星商户,129.0,8.5,8.5,8.6,大骨浓汤锅底,麻辣烫,鸡汤,西溪银泰城,双龙街西溪银泰城B1层BF039B
邦仔记香港仔鱼蛋粉,小吃快餐,￥35,四星商户,178.0,8.2,8.1,8.1,港式鲜虾云吞,混酱肠粉,劲辣咖喱鱼蛋,庆春路沿线,建国中路282号
李渔和他的两頭烏(凤起路店),小吃快餐,￥36,四星商户,1825.0,8.0,8.7,8.0,鸡子馃,兰溪牛肉面,兰溪肉圆,凤起路沿线,凤起路416号
古铺良食(学士路店),小吃快餐,￥35,四星商户,828.0,7.8,8.1,7.6,土猪肉包子,清朝馄饨,柯桥烤饼,湖滨,学士路48-5号
渔火(黄龙店),小吃快餐,￥49,准五星商户,2720.0,8.2,8.9,8.4,特色姜汁海鲜面,古早味地瓜包,私房双味鱼饼,西湖北线/黄龙,天目山路160号国际花园东栋101室
卤派三叔(星光大道店),小吃快餐,￥25,四星商户,221.0,8.0,8.2,7.4,脆皮烧鸭,五花卤肉饭,脆皮烧鸭饭,星光大道,星光大道步行街4幢1楼112号优衣库旁边
小城八月(下沙总店),小吃快餐,￥44,四星商户,234.0,7.8,8.3,7.9,秘制炸鸡爪,炸藕盒,炸花菜,下沙,高沙路645号
浙大留学生食堂,小吃快餐,￥25,准五星商户,123.0,8.6,7.8,8.0,八宝油条,水煮肉片,辣子鸡,高新文教区,天目山路浙大西溪校区
老街角(武林银泰店),小吃快餐,￥26,四星商户,215.0,7.9,8.0,8.1,油墩儿,猪油拌饭,豆花,武林广场,延安路530号905室
王老大蛋饼店,小吃快餐,￥8,四星商户,164.0,8.1,7.1,8.0,鸡蛋饼,葱油拌面,秘制牛肉粉丝,朝晖地区,朝晖路流水西苑51幢底商9号
皇家烤猪蹄,小吃快餐,￥14,准五星商户,47.0,8.8,7.9,8.6,烤猪蹄,烤猪皮,烤猪筋,西湖区,浙江大学紫金港校区育英路46号
唔饭厨坊,本帮江浙菜,￥130,准五星商户,526.0,8.8,8.9,8.8,酸菜鱼,熟醉沼虾,芒果糯米饭,凯旋路/机场路沿线,庆春东路86-13号
采芝斋(延安路店),小吃快餐,￥33,四星商户,624.0,7.7,7.6,7.3,榨菜月饼,西湖藕粉,桂花绿豆糕,湖滨,延安路217号
龙门醉客(日信国际店),小吃快餐,￥95,准五星商户,52.0,8.9,8.3,8.3,臭豆腐走个心,凉拌黄瓜,鸡爪明虾煲,上城区,钱江路555号日信国际二楼
新丰小吃(浣纱路店),小吃快餐,￥15,四星商户,488.0,8.0,7.6,7.4,虾肉小笼包,牛肉粉丝,虾肉馄饨,湖滨,浣纱路147号
二烧(建国南路店),小吃快餐,￥15,准五星商户,416.0,8.8,8.1,7.8,笋尖烧麦,全家福馄饨,鲜肉小馄饨,城站火车站,建国南路187号
流芳面馆(浣纱路店),面馆,￥22,准五星商户,959.0,8.4,8.6,8.4,猪肝拌川,茄汁拌川,腰花面,吴山广场/河坊街,吴山商圈浣纱路116号
德泓面馆(紫金港店),小吃快餐,￥19,准五星商户,336.0,8.8,7.7,7.9,招牌热干面,米糊,咸蛋黄炒年糕,三墩镇,三墩镇望月公寓1-2号商铺
陳八两面家(紫金港店),面馆,￥23,五星商户,362.0,9.0,8.7,9.0,老酸菜牛腱面,猪肝面,雪菜牛腱子面,三墩镇,龙宇街望月商铺43号
岱石香海鲜砂锅粥(滨江店),小吃快餐,￥82,四星商户,1690.0,8.4,8.2,8.3,招牌美味虾粥,手撕鸡,花蛤干贝虾粥,星光大道,江晖路1194号中嬴国际商务大厦1楼
素勤饮食店,小吃快餐,￥44,四星商户,53.0,8.0,6.8,7.7,酸菜鱼,白斩鸡,爆炒猪肝,吴山广场/河坊街,城头巷101号
浙大留学生食堂,小吃快餐,￥23,准五星商户,1698.0,8.1,7.2,7.4,八宝油条,糖醋里脊,葱油鲈鱼,西湖北线/黄龙,浙大路38号浙江大学玉泉校区内
味灵轩,小吃快餐,￥17,准五星商户,110.0,8.2,8.9,8.6,葱油拌面,牛肉书饼,白玉豆浆（原味）,西湖北线/黄龙,莫干山路11号
红帽小吃馆,小吃快餐,￥23,准四星商户,214.0,7.3,6.6,6.9,肉包,韭菜包,豆腐包,西湖北线/黄龙,保俶路116号
漫芝坞(教工路店),小吃快餐,￥41,五星商户,154.0,8.9,9.1,9.0,漫芝坞秘制卤肉饭,漫芝坞仅有的豆腐饭,漫芝坞招牌三拼饭,高新文教区,教工路234号
石川咖喱堂,小吃快餐,￥43,准五星商户,310.0,8.6,8.3,8.7,蛋包饭咖喱饭,炸猪排,大福,解放路沿线,中山中路336号
冯记食铺【北京传统小吃】,小吃快餐,￥40,四星商户,676.0,7.9,7.7,7.6,卤煮火烧,牛肉大葱,爆肚儿,湖滨,邮电路16号1-102
南方迷宗大包,小吃快餐,￥5,四星商户,972.0,8.2,7.8,8.0,南方肉包,南方油包,酒酿豆浆,湖滨,邮电路与延安路交叉口西行20米路北
温州小吃,小吃快餐,￥27,四星商户,71.0,8.0,7.3,7.6,温州海鲜炒粉干,矾山肉燕,温州特色炒海鲜炒年糕,凤起路沿线,孩儿巷77号
老齐生煎,小吃快餐,￥10,四星商户,207.0,8.1,7.2,7.7,猪肉煎包,牛肉煎饺,猪肉煎饺,湖墅南路,夹城巷11号
老陈大肠店,小吃快餐,￥31,准四星商户,37.0,7.7,7.3,7.8,卤大肠,喜蛋,,吴山广场/河坊街,丰家兜茅廊巷农贸市场一楼
食货品鲜录-深夜暖心食堂,小吃快餐,￥47,四星商户,120.0,8.3,8.1,8.5,臭豆腐,猪蹄,香酥凤爪,转塘,转塘梦湖路金街美地3号楼2层216
方老大面,面馆,￥34,准五星商户,1057.0,8.9,7.5,7.8,腰花片儿川,腰花番茄汁拌川,爆鳝面,吴山广场/河坊街,江城路629号
福华园过桥米线,小吃快餐,￥27,四星商户,382.0,8.2,7.2,7.4,云南过桥米线,白切鸡,千张包,湖滨,巷口李博士桥6号
阿一师卤肉饭(杭州大厦501店),小吃快餐,￥26,准五星商户,325.0,8.4,8.4,8.6,阿一師滷肉飯套餐（原味/辣味）,金牌控肉飯套餐,嘉義雞肉飯套餐,钱江新城,庆春东路庆春广场西侧西子国际写字楼B座杭州大厦501城市广场负一楼
阿胖粽(潮王路店),小吃快餐,￥12,四星商户,69.0,8.5,7.9,8.4,经典肉粽,蛋黄肉粽,细沙大粽,湖墅南路,潮王路莫干新村15幢一单元
何太急鲜肉生煎,小吃快餐,￥8,四星商户,73.0,8.0,7.4,7.7,鲜肉煎饺,煎包,生煎,高新文教区,文三路342号
争火烫捞(西溪印象城店),小吃快餐,￥30,准五星商户,209.0,8.5,8.6,8.9,芝士年糕,豆奶,鲜美鸡汤,西溪印象城,五常大道西溪印象城1-BM14号
卤儿道道(湖滨银泰in77店),小吃快餐,￥42,四星商户,646.0,8.1,7.8,7.7,卤鸡爪,卤味双拼,酒酿圆子,湖滨,延安路258号湖滨银泰in77B区B1层
和府捞面(湖滨银泰),小吃快餐,￥43,四星商户,1970.0,8.0,8.3,8.5,香辣汤雪花肥牛面,乾隆冰芯蛋,蟹黄油笋衣捞面,湖滨,东坡路7号湖滨银泰IN77C区B1层
盛文甘栗(河东路店),小吃快餐,￥27,准五星商户,3676.0,8.5,8.0,8.0,糖炒栗子,盛文冰糖葫芦,盛文甘栗,朝晖地区,河东路190号
陳八两面家(解放路店),面馆,￥28,准五星商户,1746.0,9.0,8.5,8.4,老酸菜牛腱子面,老酸菜牛肉面,雪菜牛肉面,解放路沿线,光复路140-1号
夫子面,面馆,￥24,准五星商户,778.0,8.6,8.4,8.4,虾仁片儿川,酸菜鱼片面,杭式拌川,吴山广场/河坊街,国货路13号
泡泡堂炸物夜宵,小吃快餐,￥65,准五星商户,49.0,8.5,8.3,8.6,臭豆腐,掌中宝,花菜,开发区/高教园,闻涛路金铂湾二楼
杂粮煎饼(星光百货店),小吃快餐,￥9,准五星商户,154.0,8.8,7.9,8.3,杂粮煎饼,土豆丝,里脊,开发区/高教园,泰安路9号星光百货1层底商
桐香园小笼包(百井坊巷店),小吃快餐,￥16,四星商户,106.0,8.3,7.6,8.1,特色小笼包,鲜肉小馄饨,辣椒酱,武林广场,百井坊巷45号
牛助你·贵州黄牛肉馆(下沙店),火锅,￥72,五星商户,180.0,9.1,9.0,9.1,生牛肉,土豆,熟牛肉,下沙,天城东路150-1号
蜀大侠火锅(湖滨店),火锅,￥114,准五星商户,793.0,8.4,8.8,8.3,贵妃牛肉,大侠水牛毛肚,花千骨,庆春路沿线,庆春路太平里七号衣之家庆春店旁
三胖叔叔·炸串·烧卖(百井坊巷店),小吃快餐,￥58,准五星商户,164.0,8.7,8.3,8.9,招牌臭豆腐,脆嫩爆鸡胗,花菜,武林广场,百井坊巷35号
小时候(大悦城店),小吃快餐,￥19,四星商户,128.0,8.4,8.5,8.4,大白兔奶糖,无花果,口红糖,北大桥／大悦城,莫干山路与隐秀路交叉口杭州大悦城L4-10-12号
阿能面馆(河东路店),小吃快餐,￥37,四星商户,439.0,8.2,7.5,8.0,黑鱼煲,鳝丝大肠面,秘制牛蛙煲,朝晖地区,河东路190号
舅一碗老汤面(夹城巷店),面馆,￥23,准五星商户,1667.0,9.0,8.7,8.9,片儿川,海鲜面,葱爆鳝丝捞面,城东,夹城巷29号
楠哥煎饺,小吃快餐,￥12,四星商户,401.0,7.9,6.9,7.5,小馄饨煎饺,拌面,豆腐脑,解放路沿线,建国中路130号
吴山烤禽(吴山店),小吃快餐,￥30,四星商户,3935.0,8.0,6.9,7.1,吴山烤鸡,吴山烧鸡,素烧鹅,湖滨,吴山路62号
春熙禄·蓉小馆(湖墅南路店),川菜,￥76,准五星商户,761.0,8.8,9.0,9.0,红糖糍粑,宫保鸡丁,红糖冰粉,湖墅南路,湖墅南路210号海事大厦左侧底商
流芳面馆(中山北路店),面馆,￥22,准五星商户,905.0,8.9,8.0,8.2,猪肝拌川,茄汁拌川,腰花片儿川,庆春路沿线,中山北路190号
无名氏宵夜小摊,小吃快餐,￥17,四星商户,103.0,8.3,6.8,7.9,鲜肉煎饺,小馄饨,千张包汤,吴山广场/河坊街,江城路412号亿超眼镜店旁弄堂里
杭州知味观·杭帮菜餐厅(湖滨店),本帮江浙菜,￥108,准四星商户,752.0,7.5,7.6,7.2,西湖醋鱼,鲜肉小笼,东坡焖肉,湖滨,仁和路83号2楼
凡老头米线砂锅,小吃快餐,￥32,四星商户,513.0,8.0,6.8,7.1,鸡爪,大肠炒粉干,牛肉砂锅,古墩路沿线,古荡西区1幢天目山路与益乐路交叉口
方林富炒货店(西溪路店),小吃快餐,￥44,四星商户,1933.0,8.5,7.9,8.0,糖炒栗子,红薯片,椒盐小核桃,西湖北线/黄龙,西溪路78号
方林富炒货店(武林店－庞盛杰),小吃快餐,￥47,准五星商户,998.0,8.4,8.0,8.3,糖炒栗子,地瓜干,地瓜片,武林广场,武林路361号
陳八两面家(滨江龙湖天街店),面馆,￥33,准五星商户,63.0,8.8,8.9,8.9,手切酸菜牛腱子面,黄金脆皮猪五花面,茄汁黑猪片儿川,滨江天街,江南大道滨江龙湖天街B1-09号商铺
馋世界,小吃快餐,￥69,四星商户,240.0,8.4,7.4,7.4,芋泥风暴,爸爸糖吐司,芋头风暴,庆春路沿线,回龙庙前21号和潮鸣寺巷交叉口海王星辰药店隔壁
